step,train_loss,val_loss,lr,tokens_per_sec,wall_s
0,6.3131,,1.50e-05,486.8,1.1
10,5.6798,,1.65e-04,441.8,11.7
20,4.9834,,3.00e-04,229.7,22.5
30,4.6988,,2.90e-04,157.8,33.0
40,4.4329,,2.60e-04,119.8,43.6
50,4.2115,,2.17e-04,67.0,62.1
60,4.0394,,1.65e-04,55.2,80.6
70,3.9049,,1.13e-04,59.1,95.1
80,3.8238,,6.95e-05,59.4,105.9
90,3.7786,,4.03e-05,53.4,116.5
100,,3.7409,,,162.3
