step,train_loss,val_loss,lr,tokens_per_sec,wall_s
0,6.4379,,1.50e-05,77.5,6.7
10,4.9762,,1.65e-04,65.9,79.6
20,3.9523,,3.00e-04,26.9,182.7
30,3.6125,,2.90e-04,17.1,299.4
40,3.3412,,2.60e-04,19.9,363.2
50,3.1706,,2.17e-04,15.5,428.7
60,3.0709,,1.65e-04,14.0,488.7
70,3.0098,,1.13e-04,12.1,548.4
80,2.9687,,6.95e-05,10.6,608.4
90,2.9191,,4.03e-05,9.4,668.5
100,,2.6895,,,903.9
