step,train_loss,val_loss,lr,tokens_per_sec,wall_s
0,6.2297,,1.50e-05,92.0,5.6
10,5.1627,,1.65e-04,74.4,76.8
20,4.1914,,3.00e-04,42.9,136.0
30,3.8429,,2.90e-04,25.7,200.5
40,3.5546,,2.60e-04,27.0,252.4
50,3.3530,,2.17e-04,27.4,293.9
60,3.2187,,1.65e-04,22.2,334.6
70,3.1352,,1.13e-04,19.4,375.0
80,3.0929,,6.95e-05,12.6,438.4
90,3.0796,,4.03e-05,15.9,479.3
100,,3.0527,,,600.4
