step,train_loss,val_loss,lr,tokens_per_sec,wall_s
0,6.1634,,1.50e-05,301.9,1.8
10,5.5297,,1.65e-04,198.7,31.7
20,4.8035,,3.00e-04,80.7,66.4
30,4.4957,,2.90e-04,46.1,104.2
40,4.1962,,2.60e-04,38.0,142.0
50,3.9509,,2.17e-04,24.4,185.6
60,3.7569,,1.65e-04,27.6,220.6
70,3.6221,,1.13e-04,23.3,255.5
80,3.5374,,6.95e-05,17.9,292.4
90,3.4976,,4.03e-05,27.7,319.1
100,,3.4538,,,444.8
